																															Class	blanl	P1-1	P1-2	P2-1	P2-1	P3-1	P3-2	A-D1-1	A-D1-2	A-D2-1	A-D2-2	B-D1-1	B-D1-2	B-D2-1	B-D2-2	C-D1-1	C-D1-2	C-D2-1	C-D2-2	NC1-D1	NC1-D2	NC2-D1	NC2-D2	NC3-D1	NC3-D2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
																															File type	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
																															Injection order	1	2	3	4	5	6	7	8	9	20	21	32	33	34	35	36	37	38	39	40	41	42	43	44	45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
																															Batch ID	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Average	Average	Average	Average	Average	Average	Average	Average	Average	Average	Average	Average	Average	Average	Average	Average	Average	Average	Average	Average	Average	Average	Average	Average	Stdev	Stdev	Stdev	Stdev	Stdev	Stdev	Stdev	Stdev	Stdev	Stdev	Stdev	Stdev	Stdev	Stdev	Stdev	Stdev	Stdev	Stdev	Stdev	Stdev	Stdev	Stdev	Stdev	Stdev
Alignment ID	Average Rt(min)	Average Mz	Metabolite name	Adduct type	Post curation result	Fill %	MS/MS assigned	Reference RT	Reference m/z	Formula	Ontology	INCHIKEY	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	Comment	Manually modified for quantification	Manually modified for annotation	Isotope tracking parent ID	Isotope tracking weight number	Total score	RT similarity	Dot product	Reverse dot product	Fragment presence %	S/N average	Spectrum reference file name	MS1 isotopic spectrum	MS/MS spectrum	blank_post	PEPC13_2021	PEPC13_2021_2	PEPC13_2022	PEPC13_2022_2	PEPC13_2022neu	PEPC13_2022neu_2	S01	S01_2	S02	S02_2	S03	S03_2	S04	S04_2	S05	S05_2	S06	S06_2	S07	S08	S09	S10	S11	S12	blanl	P1-1	P1-2	P2-1	P3-1	P3-2	A-D1-1	A-D1-2	A-D2-1	A-D2-2	B-D1-1	B-D1-2	B-D2-1	B-D2-2	C-D1-1	C-D1-2	C-D2-1	C-D2-2	NC1-D1	NC1-D2	NC2-D1	NC2-D2	NC3-D1	NC3-D2	blanl	P1-1	P1-2	P2-1	P3-1	P3-2	A-D1-1	A-D1-2	A-D2-1	A-D2-2	B-D1-1	B-D1-2	B-D2-1	B-D2-2	C-D1-1	C-D1-2	C-D2-1	C-D2-2	NC1-D1	NC1-D2	NC2-D1	NC2-D2	NC3-D1	NC3-D2
0	18.659	100.07516	Unknown	[M+H]+		0.04	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	5.24	S07	100.07516:196167 101.07851:11160 102.08187:1531		156995	184126	181312	182452	189338	182058	183547	190356	195785	192950	187499	202144	190583	194245	181566	184809	182874	201762	179528	196167	182164	188303	181032	188099	182923	156994.8125	184125.75	181311.875	185895.03125	182058.3125	183546.625	190356.5	195785.1875	192949.5	187499.375	202143.5625	190583.0625	194244.9375	181566.375	184808.8125	182874.4375	201761.75	179527.625	196166.875	182164.3125	188302.75	181032.0625	188098.5625	182922.9375	0	0	0	4868.4743826432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	14.886	100.07538	Unknown	[M+H]+		0.28	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	8.12	S03	100.07538:126403 101.07873:9513 102.08209:456		90038	113735	113293	113929	118107	119966	116676	121697	120086	117822	120465	126403	116952	125426	112405	120073	114587	121515	116682	116548	115203	111172	117211	119668	114016	90038.3125	113734.875	113293.4375	116018	119965.75	116676	121696.75	120085.5	117821.9375	120465	126402.875	116952.1875	125426.0625	112404.6875	120073	114587.375	121515.25	116682.0625	116548.5	115202.625	111172.1875	117211	119667.9375	114016.25	0	0	0	2954.55729684034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	17.305	100.07556	Unknown	[M+H]+		0.08	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	4.53	S04	100.07556:204434 101.07891:12354 102.08227:988		158060	181133	183206	183047	180909	181033	184190	193016	191336	194229	186880	202587	191577	204434	180474	185803	182695	204429	182204	185825	182951	190673	179492	185415	182899	158060.125	181132.75	183206.4375	181977.78125	181032.625	184190.125	193015.75	191335.75	194229.25	186880	202587.1875	191576.875	204434.5	180473.875	185803.375	182694.5625	204428.625	182203.5625	185824.625	182950.625	190673.3125	179492.125	185415.4375	182898.6875	0	0	0	1512.01526904596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0.463	100.07642	Unknown	[M+H]+		0.04	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	45.78	PEPC13_2021_2	100.07642:186966 101.07977:10792 102.08313:938		158187	184645	186966	186933	186139	189541	192200	195817	205638	196858	195776	191947	198206	198460	194551	206944	185353	189012	186811	187715	187382	188490	187849	181749	191154	158186.875	184644.875	186966.375	186536.21875	189541.375	192200.375	195817.1875	205637.6875	196858.4375	195775.8125	191947.3125	198206.5	198460.5	194550.8125	206943.8125	185352.6875	189012.375	186810.875	187715	187382.0625	188490.4375	187849.4375	181748.875	191153.5625	0	0	0	561.398590088295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0.521	100.94137	Unknown	[M+H]+		0.72	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	26.93	S05	100.94137:4151 101.94472:1525 102.94808:2629		3563	3021	2233	1579	3442	2853	1167	1576	3823	1160	3786	1227	1332	1252	1127	4151	1734	1540	3039	1574	1447	1118	1646	3315	1949	3562.9375	3021.25	2233.4375	2510.375	2853.375	1167.375	1576	3823	1159.6875	3785.5	1227.0625	1331.9375	1252.375	1127.1875	4150.5625	1734.375	1539.625	3039	1573.5	1447.375	1117.5	1646.25	3315.0625	1948.625	0	0	0	1316.98637995994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	14.782	101.07707	Unknown	[M+H]+		0.04	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	5.49	blank_post	101.07707:7072 102.08042:567 103.08378:66		7072	6796	6931	6745	7664	7117	7195	7376	7653	7918	7870	7778	6968	8003	7171	7581	7196	7658	7423	7329	7197	6705	7301	7213	6845	7071.75	6795.8125	6931.3125	7204.75	7117.1875	7195.3125	7376.25	7652.5625	7917.9375	7870.375	7777.9375	6967.75	8003.125	7171.4375	7581.25	7196.125	7657.9375	7423.4375	7329.0625	7197	6705	7301.0625	7213.4375	6845.375	0	0	0	649.654355215141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
